Date,"Cat"
2016-05-15,7993
2016-05-16,9514
2016-05-17,9280
2016-05-18,9228
2016-05-19,8734
2016-05-20,8782
2016-05-21,7416
2016-05-22,7698
2016-05-23,8503
2016-05-24,8958
2016-05-25,8897
2016-05-26,10462
2016-05-27,9434
2016-05-28,6734
2016-05-29,6885
2016-05-30,7625
2016-05-31,8029
2016-06-01,8716
2016-06-02,8054
2016-06-03,7322
2016-06-04,6814
2016-06-05,7871
2016-06-06,8088
2016-06-07,7805
2016-06-08,8389
2016-06-09,8031
2016-06-10,7260
2016-06-11,6415
2016-06-12,7135
2016-06-13,7553
2016-06-14,7893
2016-06-15,8553
2016-06-16,7597
2016-06-17,7321
2016-06-18,6722
2016-06-19,7139
2016-06-20,7843
2016-06-21,8522
2016-06-22,8102
2016-06-23,8460
2016-06-24,6806
2016-06-25,6331
2016-06-26,7601
2016-06-27,7717
2016-06-28,8429
2016-06-29,7382
2016-06-30,7205
2016-07-01,6760
2016-07-02,6424
2016-07-03,6755
2016-07-04,6844
2016-07-05,6693
2016-07-06,6891
2016-07-07,6962
2016-07-08,6361
2016-07-09,6326
2016-07-10,7291
2016-07-11,7373
2016-07-12,7197
2016-07-13,7137
2016-07-14,6806
2016-07-15,7076
2016-07-16,6040
2016-07-17,6851
2016-07-18,7117
2016-07-19,7264
2016-07-20,7020
2016-07-21,6994
2016-07-22,6117
2016-07-23,5858
2016-07-24,6676
2016-07-25,7137
2016-07-26,6961
2016-07-27,7117
2016-07-28,7120
2016-07-29,6825
2016-07-30,6674
2016-07-31,7322
2016-08-01,7202
2016-08-02,7457
2016-08-03,7263
2016-08-04,6924
2016-08-05,6554
2016-08-06,5856
2016-08-07,6413
2016-08-08,7271
2016-08-09,7138
2016-08-10,6750
2016-08-11,6877
2016-08-12,6419
2016-08-13,6183
2016-08-14,6418
2016-08-15,7470
2016-08-16,7961
2016-08-17,7041
2016-08-18,6941
2016-08-19,6445
2016-08-20,6831
2016-08-21,6731
2016-08-22,7198
2016-08-23,7260
2016-08-24,7707
2016-08-25,7494
2016-08-26,7251
2016-08-27,6316
2016-08-28,6853
2016-08-29,7662
2016-08-30,7750
2016-08-31,7725
2016-09-01,7626
2016-09-02,7043
2016-09-03,6273
2016-09-04,6373
2016-09-05,7093
2016-09-06,9158
2016-09-07,8213
2016-09-08,8022
2016-09-09,8407
2016-09-10,6569
2016-09-11,6895
